,Event.Id,Investigation.Type,Event.Date,Latitude,Longitude,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status
65185,20081003X17330,Accident,2008-08-14,384419N,0902022W,St. Louis International,Fatal,Substantial,Airplane,Embraer,Emb-145Lr,2,Turbo Fan,Part 121: Air Carrier,UNK,0.0,0.0,0.0,36.0,VMC,Unknown,The flying pilot's excessive angle of attack during the landing flare resulting in abnormal runway contact.
65191,20081003X65754,Accident,2008-08-15,061269N,0231117E,,Fatal,Substantial,Airplane,Piper,Pa-28R-200,UNK,UNK,NUSN,Instructional,3.0,0.0,0.0,0.0,VMC,Unknown,
65192,20081007X93846,Accident,2008-08-15,295832N,0009252W,,Fatal,Substantial,Airplane,Piper,Pa-28-140,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,1.0,0.0,2.0,VMC,Unknown,A total loss of engine power for undetermined reasons.  Contributing to the accident was unsuitable terrain for a forced landing.
65194,20080822X01296,Accident,2008-08-16,037378N,1222229W,San Francisco International,Fatal,Unknown,Airplane,Boeing,777-300,2,Turbo Fan,Part 129: Foreign,UNK,0.0,0.0,0.0,311.0,VMC,Unknown,The ground crewman's failure to follow the tow bar disconnect standard operating procedures.
65200,20080913X01446,Accident,2008-08-16,039139N,0744741W,Woodbine Municipal Airport,Fatal,Substantial,Airplane,Costruzioni Aeronautiche,P2002 Sierra,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,The student pilot's failure to maintain airspeed during a go-around. Contributing to the accident was the student pilot's degraded emotional/mental state due to stress.
65201,20080916X01473,Accident,2008-08-16,433718N,0096130W,,Fatal,Substantial,Airplane,Air Tractor,At-400A,1,Turbo Prop,Part 137: Agricultural,Aerial Application,0.0,0.0,0.0,1.0,VMC,Unknown,The failure of the compressor turbine blades which resulted in the loss of power.  Factors associated with the accident were the low altitude and the trees.
65202,20081003X63010,Incident,2008-08-16,,,Charles DeGaulle,Fatal,Unknown,Airplane,Boeing,B737-800,UNK,UNK,NUSC,UNK,0.0,0.0,0.0,2.0,VMC,Unknown,.
65204,20080820X01268,Accident,2008-08-17,,,,Fatal,Unknown,Airplane,Cessna,402C,UNK,UNK,NUSN,UNK,5.0,0.0,0.0,0.0,UNK,Unknown,
65205,20080826X01314,Accident,2008-08-17,322653N,0089424W,,Fatal,Substantial,Airplane,Ayres,S2R-T15,1,Turbo Prop,Part 137: Agricultural,Aerial Application,1.0,0.0,0.0,0.0,VMC,Unknown,The pilots failure to maintain clearance from trees during low altitude maneuvering.
65206,20080826X01317,Accident,2008-08-17,415817N,0735146W,Old Rhinebeck Airport,Fatal,Substantial,Airplane,Roberto P. Garcia,Nieuport 24Bis,1,Reciprocating,Part 91: General Aviation,Air Race show,1.0,0.0,0.0,0.0,VMC,Unknown,"The pilot's failure to maintain control of the airplane while maneuvering, resulting in an aerodynamic stall and spin."
65211,20080826X01320,Accident,2008-08-18,611234N,1495135W,Bethel,Fatal,Substantial,Airplane,Cessna,207A,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,3.0,VMC,Unknown,"The pilot's excessive taxi speed while taxiing to the runway, and his failure to see the stopped airplane ahead of him in time to avoid a collision."
65213,20080917X01480,Accident,2008-08-18,423617N,0011487W,Hazelton Muni,Fatal,Substantial,Airplane,Grumman,G-164A,1,Turbo Prop,Part 137: Agricultural,Aerial Application,0.0,1.0,0.0,0.0,VMC,Unknown,"The pilot's inadequate compensation for the tailwind and failure to attain and maintain airspeed, which resulted in an inadvertent stall. The tailwind was a contributing factor."
65216,20080827X01343,Accident,2008-08-19,333137N,1121743W,,Fatal,Substantial,Airplane,Cessna,Tu206F,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,3.0,VMC,Unknown,A loose fuel line fitting that resulted in a partial loss of engine power during the initial takeoff climb.  Contributing to the accident was inadequate maintenance installation of the fitting.
65217,20080828X01352,Accident,2008-08-19,062320N,0143140W,,Fatal,Substantial,Airplane,Piper,Pa-18-150,1,Reciprocating,Public Use,Public Aircraft,0.0,0.0,0.0,2.0,VMC,Unknown,The pilot's failure to maintain directional control during an aborted takeoff.
65221,20080825X01307,Accident,2008-08-20,,,,Fatal,Destroyed,Airplane,Boeing,Md-82,UNK,UNK,NUSC,UNK,154.0,0.0,18.0,0.0,UNK,Unknown,
65222,20080905X01387,Accident,2008-08-20,039110N,0763936W,Baltimore/Washington Thurgood,Fatal,Substantial,Airplane,Cessna,441,2,Turbo Prop,Part 91: General Aviation,Business,0.0,0.0,0.0,4.0,VMC,Unknown,The pilot's delayed decision to abort the takeoff. Contributing to the accident was the pilot's attempted takeoff with a propeller start lock inadvertently engaged.
65224,20080916X01468,Accident,2008-08-20,414721N,0901612W,,Fatal,Substantial,Airplane,Cessna,A188B,1,Reciprocating,Part 137: Agricultural,Aerial Application,0.0,0.0,0.0,1.0,VMC,Unknown,The pilot took off on an unsuitable airstrip which resulted in the airplane becoming prematurely airborne with inadequate airspeed after it contacted a rise in the terrain.
65225,20080917X01486,Accident,2008-08-20,039404N,1195257W,Reno Stead Airport,Fatal,Substantial,Airplane,Hawker,Sea Fury Tmk 20,1,Reciprocating,Part 91: General Aviation,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,A ruptured center balance diaphragm that resulted in a loss of engine power during final approach and subsequent forced landing on a desert floor.
65227,20080924X01524,Accident,2008-08-20,059720N,1552411W,,Fatal,Substantial,Airplane,Cessna,U206G,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,5.0,VMC,Unknown,"The pilot's misjudged speed and distance during takeoff, which resulted in the float-equipped airplane colliding with a bank."
65237,20080904X01375,Accident,2008-08-22,384347N,1094558W,Canyonlands Field Airport,Fatal,Substantial,Airplane,Beech,A100,2,Turbo Prop,Part 91: General Aviation,Executive/corporate,10.0,0.0,0.0,0.0,VMC,Unknown,The pilots failure to maintain terrain clearance during takeoff for undetermined reasons.
65240,20080918X01496,Accident,2008-08-22,315423N,0914533W,,Fatal,Substantial,Airplane,Air Tractor,At-301,1,Reciprocating,Part 137: Agricultural,Aerial Application,0.0,0.0,0.0,1.0,VMC,Unknown,The loss of engine power for undetermined reasons.
65242,20081003X42123,Accident,2008-08-22,032430N,0090337W,,Fatal,Substantial,Airplane,Air Tractor,At-502,1,Turbo Prop,Part 137: Agricultural,Aerial Application,0.0,1.0,0.0,0.0,VMC,Unknown,The pilot's inadequate visual lookout resulting in the in-flight collision with a 40-foot-tall antenna.
65244,20080826X01331,Accident,2008-08-23,595739N,1625253W,Kongiganak,Fatal,Substantial,Airplane,Cessna,207A,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,2.0,0.0,4.0,VMC,Unknown,"The pilot's decision to attempt to takeoff on a short, wet runway with a heavily loaded airplane, and his failure to abort the takeoff before it became impracticable."
65246,20080919X01498,Accident,2008-08-23,473123N,0964833W,,Fatal,Substantial,Airplane,Schweizer,G-164B,1,Turbo Prop,Part 137: Agricultural,Aerial Application,0.0,0.0,0.0,1.0,VMC,Unknown,The pilot's failure to maintain directional control of the airplane during the crosswind landing.  Factors associated with the accident were the crosswind and the rough terrain.
65250,20081007X11055,Accident,2008-08-23,029182N,0081649W,Ormond Beach Municipal,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,2.0,0.0,0.0,VMC,Unknown,Both pilots' inadequate preflight inspection of the fuel.
65255,20080914X01453,Accident,2008-08-24,145615N,0894844W,,Fatal,Destroyed,Airplane,Cessna,208,UNK,UNK,NUSC,UNK,11.0,0.0,3.0,0.0,VMC,Unknown,
65257,20081003X16307,Accident,2008-08-24,043425N,0742147E,Manas Airport,Fatal,Destroyed,Airplane,Boeing,737,UNK,UNK,NUSC,UNK,65.0,25.0,0.0,0.0,UNK,Unknown,;kh
65260,20080916X01472,Accident,2008-08-25,043515N,0096246W,,Fatal,Substantial,Airplane,Air Tractor,At-301A,1,Reciprocating,Part 137: Agricultural,Aerial Observation,0.0,0.0,0.0,1.0,VMC,Unknown,"The pilot's failure to assure the primer control was locked during the aircraft preflight.  Factors associated with the accident were the low altitude at which the airplane was operating, the fence, the roadway, and the ditch."
65262,20080912X01438,Incident,2008-08-26,044259N,0074923W,El Dorado International,Fatal,Unknown,Airplane,Boeing,747-209B,4,Turbo Fan,Part 121: Air Carrier,UNK,0.0,0.0,0.0,5.0,VMC,Unknown,"The combination of fan blade edge contour, variable blade trim, and the high altitude, which resulted in an engine surge."
65263,20080918X01490,Accident,2008-08-26,341724N,0903036W,Fletcher Field Airport,Fatal,Substantial,Airplane,Schweizer Aircraft Corp,G-164B,1,Turbo Prop,Part 137: Agricultural,Aerial Application,0.0,0.0,0.0,1.0,VMC,Unknown,"The mechanics failure to torque check the axle-to-spring gear attachment bolts per the manufacturer's Annual/100-Hour Airframe Inspection Checklist, resulting in fatigue failure of the bolts."
65264,20080919X01499,Accident,2008-08-26,043819N,0085158W,,Fatal,Substantial,Airplane,Cirrus,Sr20,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,The deer that ran onto the runway contacting the airplane.  A factor associated with the accident was the dark night conditions.
65265,20081003X16306,Incident,2008-08-26,,,,Fatal,Unknown,Airplane,Boeing,B747-436,UNK,UNK,NUSC,UNK,0.0,0.0,0.0,2.0,VMC,Unknown,.
65266,20081003X42127,Accident,2008-08-26,,,,Fatal,Substantial,Airplane,Cessna,172,1,Reciprocating,NUSN,Business,0.0,0.0,2.0,0.0,VMC,Unknown,"On August 26, 2008, about 1100 local time, a Cessna 172, Ecuadorian registration HC-BKY, registered to an operated by Wings of Hope Incorporated, as a medical transport flight, crashed following a loss of engine power, while in cruise flight to Rio Amazonas Airport, Pastaza, Ecuador. Visual meteorological conditions prevailed, and no flight plan was filed. The airplane was substantial damage. The private-rated pilot and passenger received serious injuries. 

According to information obtained from the Ecuadorian Subdireccion de Aviacion Civil, the pilot reported total loss of engine power, while in cruise flight. He conducted an emergency landing, and crashed into trees.

This investigation is under the jurisdiction of the Government of Ecuador. Any further information can be obtained from:

Direccion General de Aviacion Civil
Buenos Aires 149 Y 10 de Agusto
P.O. Box 2077
Quito, Republica del Ecuador

Phone: 593-2-223-8981
Fax; 593-2- 223-8352

This information is for informational purposes only, and contains information released by, or obtained for the Government of Ecuador.  
"
65268,20080909X01419,Accident,2008-08-27,004030N,1075321W,,Fatal,Substantial,Airplane,Air Tractor,At-802A,1,Turbo Prop,Public Use,Aerial Application,0.0,1.0,0.0,0.0,VMC,Unknown,"The pilot's improper decision to continue an aerial application following an uncommanded opening of the cabin door in flight, and his subsequent failure to maintain control of the airplane."
65270,20081003X17830,Accident,2008-08-27,414911N,0071543W,Danielson Airport,Fatal,Substantial,Airplane,Cessna,182A,1,Reciprocating,Part 91: General Aviation,Skydiving,0.0,0.0,0.0,1.0,VMC,Unknown,Fuel exhaustion due to the pilots inadequate fuel consumption calculations.
65271,20080829X01354,Incident,2008-08-28,,,,Fatal,Unknown,Airplane,Boeing,B744,UNK,UNK,Part 129: Foreign,UNK,0.0,0.0,0.0,159.0,UNK,Unknown,The San Juan CERAP controllers failure to ensure the two aircraft were properly separated using non-radar separation standards.
65272,20080904X01376,Accident,2008-08-28,361241N,1151329W,North Las Vegas,Fatal,Substantial,Airplane,Piper,Pa-31-350,2,Reciprocating,Part 91: General Aviation,Other Work Use,1.0,0.0,0.0,0.0,VMC,Unknown,"A loss of power in the right engine due to an in-flight fuel-fed fire in the right engine compartment that, while the exact origin could not be determined, was likely related to the right engine-driven fuel pump, its fuel supply line, or fitting. Contributing to the accident was the pilot's failure to adhere to the POH's procedures for responding to the fire and configuring the airplane to reduce aerodynamic drag."
65273,20080917X01485,Accident,2008-08-28,475730N,1133334W,Spotted Bear (USFS),Fatal,Substantial,Airplane,Cessna,Tr182,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,3.0,VMC,Unknown,The pilot's inadequate compensation for the variable wind conditions and failure to maintain adequate airspeed during landing.
65275,20081003X41452,Accident,2008-08-28,421929N,0088427W,Campbell Airport,Fatal,Substantial,Airplane,Beech,C23,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Unknown,The inadequate flare by the student pilot and the inadequate supervision and delayed go-around performed by the flight instructor. Contributing to the accident were the student pilot's failure to attain/maintain a stabilized approach.
65279,20080914X01456,Accident,2008-08-29,353451N,0763859W,Private,Fatal,Substantial,Airplane,Gulfstream-Schweizer,G-164B,1,Reciprocating,Part 137: Agricultural,Aerial Application,0.0,0.0,0.0,1.0,VMC,Unknown,The pilot's failure to maintain directional control on the landing roll out.
65286,20080914X01459,Accident,2008-08-30,374047N,0855625W,Addington Field Airport,Fatal,Substantial,Airplane,Cessna,182A,1,Reciprocating,Part 91: General Aviation,Skydiving,0.0,0.0,0.0,1.0,VMC,Unknown,A loss of engine power due to fuel exhaustion. Contributing to the accident was pressure from the company for the pilot to fly the second load of skydivers without refueling.
65289,20081003X16309,Accident,2008-08-30,,,Latacunga,Fatal,Destroyed,Airplane,Boeing,B737-200,2,UNK,NUSN,Ferry,3.0,0.0,0.0,0.0,IMC,Unknown,.
65291,20081003X17832,Accident,2008-08-30,018284N,0066399W,Private,Fatal,Substantial,Airplane,Quicksilver,Mxl Ii,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,1.0,0.0,VMC,Unknown,The student pilot's failure to maintain control of the airplane during an aborted landing. Contributing to the accident were the high winds.
65294,20080903X01361,Accident,2008-08-31,341257N,0119446W,Camarillo Airport,Fatal,Substantial,Airplane,Piper,Pa-18-150,1,Reciprocating,Part 91: General Aviation,Banner Tow,1.0,0.0,0.0,0.0,VMC,Unknown,The pilot's failure to fly the correct approach profile that resulted in the inadvertent pickup of a banner tow line with the airplane's main landing gear.
65298,20080910X01425,Accident,2008-08-31,032242N,1041347W,CAVERN CITY AIR TRML,Fatal,Substantial,Airplane,Fairchild,Sw3,2,Turbo Prop,Part 91: General Aviation,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,Failure of the door to remain secure for undetermined reasons.
65307,20080909X01418,Accident,2008-09-01,394754N,0825845W,Rickenbacker International,Fatal,Destroyed,Airplane,Convair,Cv-580,2,Turbo Prop,Part 91: General Aviation,Flight Test,3.0,0.0,0.0,0.0,VMC,Unknown,"The improper (reverse) rigging of the elevator trim cables by company maintenance personnel, and their subsequent failure to discover the misrigging during required post-maintenance checks. Contributing to the accident was the captains inadequate post-maintenance preflight check and the flight crews improper response to the trim problem."
65310,20081003X62322,Accident,2008-09-01,635748N,1471616W,Peede Airstrip,Fatal,Substantial,Airplane,Cessna,207,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,4.0,0.0,0.0,VMC,Unknown,The pilot's delay in aborting the landing. A factor contributing to the accident was a variable wind.
65311,20081003X62325,Accident,2008-09-01,644825N,1474545W,Metro Field Airport,Fatal,Substantial,Airplane,Bellanca,8Gcbc,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,The student pilot's inadequate recovery from a bounced landing.
65313,20081004X12026,Accident,2008-09-01,002130S,0284255E,Bukavu,Fatal,Destroyed,Airplane,Beech,1900,UNK,UNK,NUSN,UNK,17.0,0.0,0.0,0.0,UNK,Unknown,
65315,20081007X93820,Accident,2008-09-01,037578N,1075419W,Telluride Regional Airport,Fatal,Substantial,Airplane,Cessna,560,2,Turbo Fan,Part 91: General Aviation,Positioning,0.0,0.0,0.0,2.0,VMC,Unknown,The pilot's failure to maintain control during landing.  A factor was the reported wind shear.
65316,20081015X23037,Accident,2008-09-01,292031N,0994219W,,Fatal,Substantial,Airplane,Rockwell,S-2R,1,Turbo Prop,Part 137: Agricultural,Aerial Application,0.0,0.0,0.0,1.0,VMC,Unknown,A total loss of engine power due to the improper use of unauthorized replacement parts in the engine and repeated operation of the engine in an over-temperature condition.
65318,20080905X01397,Accident,2008-09-02,394141N,1195416W,Reno/Stead Airport,Fatal,Destroyed,Airplane,Lockheed,P2V-7,4,Turbo Jet,Public Use,Firefighting,3.0,0.0,0.0,0.0,VMC,Unknown,"The failure of the flight crew to maintain airspeed above in-flight minimum control speed (Vmca) after losing power in the left jet engine during initial climb after takeoff. Contributing to the accident was the crew's inadequate cockpit resource management procedures, the failure of the captain to assume command of the airplane during the emergency, the flight crew's failure to carry out the jet engine fire emergency procedure, and the failure of the crew to jettison the retardant load."
65323,20080925X01530,Accident,2008-09-03,041139N,0833951W,Findlay Airport,Fatal,Substantial,Airplane,Sadler,Vampire,1,Reciprocating,Part 91: General Aviation,Flight Test,0.0,1.0,0.0,0.0,VMC,Unknown,A total loss of engine power due to the failure of the reduction drive assembly as a result of excessive wear and high temperatures.  Contributing to the accident were the pilot's lack of total experience in the airplane and the unsuitable terrain for a forced landing.
65326,20080915X01463,Accident,2008-09-04,422921N,0985526W,O'Neill Municipal Airport,Fatal,Substantial,Airplane,Weatherly,620B,1,Reciprocating,Part 137: Agricultural,Aerial Application,0.0,0.0,0.0,1.0,VMC,Unknown,The total loss of engine power due to water contamination and corrosion within the fuel system at an undetermined time and from an undetermined source.
65327,20081003X71058,Accident,2008-09-04,042940N,1202356W,,Fatal,Substantial,Airplane,Cessna,A185F,1,Reciprocating,Part 91: General Aviation,Public Aircraft,0.0,0.0,0.0,2.0,VMC,Unknown,The pilot's failure to maintain directional control.  A contributing factor was the rough terrain.
65328,20081004X12049,Accident,2008-09-04,041142N,0814754W,Weltzien Skypark Airport,Fatal,Substantial,Airplane,Cessna,150L,UNK,UNK,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Unknown,The lack of radio communication with the airplane and the inadequate visual lookout by the driver of the vehicle.
65334,20081003X65755,Accident,2008-09-05,391312N,0106190W,Lake County Airport,Fatal,Substantial,Airplane,North American,Snj-5,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Unknown,The pilot's failure to maintain aircraft control during takeoff.
65344,20080915X01465,Accident,2008-09-07,384455N,0902212W,"St. Louis, MO",Fatal,Substantial,Airplane,Beech,1900D,2,Turbo Prop,Part 121: Air Carrier,UNK,0.0,0.0,0.0,6.0,VMC,Unknown,The ground crew's failure to ensure airplane clearance from the building while parking the airplane. Contributing to the accident was the flight crew's unprofessional behavior and the lack of marshaling procedures for the ground crew.
65345,20080919X01506,Accident,2008-09-07,334644N,0843110W,Fulton County Airport,Fatal,Substantial,Airplane,Piper,J5A,1,Reciprocating,Part 91: General Aviation,Banner Tow,0.0,0.0,0.0,1.0,VMC,Unknown,The loss of pitch control due to slippage of the elevator control cable resulting from the maintenance personnels improper installation and inspection of the cable.
65349,20081003X65756,Accident,2008-09-07,393353N,1085447W,,Fatal,Destroyed,Airplane,Gulfstream American Corp,Aa-5A,1,Reciprocating,Part 91: General Aviation,Aerial Observation,2.0,0.0,0.0,0.0,VMC,Unknown,"The pilot's failure to maintain adequate airspeed during a turn, resulting in an unrecoverable aerodynamic stall."
65350,20080911X01427,Accident,2008-09-08,381724N,1043227W,PUEBLO MEMORIAL,Fatal,Substantial,Airplane,Diamond Aircraft Industries,Da-20-C-1,1,Reciprocating,Part 91: General Aviation,Public Aircraft,0.0,0.0,2.0,0.0,VMC,Unknown,The student pilot's inability to maintain aircraft control due to an encounter with wake turbulence from a preceding larger aircraft.  Contributing to the accident was the instructor pilot's failure to intervene.
65357,20081003X62317,Accident,2008-09-09,060430N,0158560W,,Fatal,Substantial,Airplane,Cessna,T207,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,3.0,VMC,Unknown,"The pilot's selection of unsuitable terrain for landing, which resulted in the nose wheel separating from the airplane during the landing roll."
65359,20081004X12051,Accident,2008-09-09,331325S,0007123W,,Fatal,Substantial,Airplane,Cessna,172,1,UNK,NUSN,UNK,3.0,0.0,0.0,0.0,UNK,Unknown,None.
65360,20080917X01479,Accident,2008-09-10,037500N,1221848W,,Fatal,Substantial,Airplane,Cessna,T210N,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,2.0,VMC,Unknown,"A loss of engine power while maneuvering due to the disintegration of the number two main bearing, which resulted in a fracture of the crankshaft. Contributing to the accident was inadequate maintenance."
65363,20081007X11136,Accident,2008-09-10,451552N,0735742W,Lake Placid Airport,Fatal,Substantial,Airplane,Cessna,310R,2,Reciprocating,Part 91: General Aviation,Aerial Observation,0.0,0.0,0.0,2.0,VMC,Unknown,The pilot's failure to observe the ongoing construction to the closed runway while landing. Contributing to the accident was flight service's failure to brief the pilot of the closed runway.
65364,20080917X01489,Accident,2008-09-11,622417N,1484740W,,Fatal,Substantial,Airplane,Piper,Pa-18,1,Reciprocating,Part 91: General Aviation,Other Work Use,1.0,0.0,1.0,0.0,VMC,Unknown,"The pilot's failure to maintain sufficient airspeed to preclude a stall while maneuvering at a low altitude, resulting in an uncontrolled descent and collision with terrain."
65369,20081009X03922,Accident,2008-09-11,385835N,0761947W,Bay Bridge Airport,Fatal,Substantial,Airplane,Diamond Aircraft Industry Inc,Da 20-C1,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,The student pilot's failure to maintain directional control during takeoff.
65371,20080925X01531,Accident,2008-09-12,045540N,0894126W,Lakeland Airport/Noble F. Lee,Fatal,Substantial,Airplane,Cirrus,Sr22,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,3.0,0.0,0.0,0.0,IMC,Unknown,"The pilots failure to maintain airspeed during a missed approach leading to the inadvertent stall. Contributing to the accident were the pilots lack of experience in the type of operation conducted, the certificate holders loss of operational control, and the lack of adequate oversight of the operation by the Federal Aviation Administration."
65374,20081003X62326,Accident,2008-09-12,059241N,1583020W,,Fatal,Substantial,Airplane,Cessna,207,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,7.0,IMC,Unknown,"The pilot's inadequate evaluation of weather and runway conditions, and his improper decision to depart downwind, on a wet gravel runway, resulting in an in-flight collision with terrain after takeoff. Factors contributing to the accident were a tailwind, and an uphill grade of the wet, gravel-covered runway."
65378,20081003X71057,Accident,2008-09-13,038154N,1202454W,Columbia Airport,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,The student pilot's failure to maintain directional control during the landing roll.  Contributing to the accident was the student pilot's improper use of the throttle control.
65380,20080920X01508,Accident,2008-09-14,,,,Fatal,Destroyed,Airplane,Boeing,737-500,UNK,UNK,NUSC,UNK,88.0,0.0,0.0,0.0,UNK,Unknown,
65386,20080925X01526,Accident,2008-09-15,294113N,1044524W,,Fatal,Substantial,Airplane,Cessna,421B,UNK,UNK,Part 135: Air Taxi & Commuter,UNK,4.0,0.0,0.0,0.0,VMC,Unknown,
65389,20081003X17833,Accident,2008-09-16,031929N,0812319W,Malcolm McKinnon Airport,Fatal,Substantial,Airplane,Cessna,172R,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,The student pilot's improper flare while landing.
65396,20080925X01527,Incident,2008-09-18,413557N,0864239W,La Porte Municipal Airport,Fatal,Minor,Airplane,Aviat,T-211 Thorpedo,1,Reciprocating,Part 91: General Aviation,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,"A loss of engine power due to fuel exhaustion as a result of siphoning from the fuel filler neck and cap. Contributing to the incident were the fuel over-servicing which resulted in the siphoning condition, and the ASTM standards which allowed for the fuel tank filler neck/vent design."
65400,20081003X65757,Accident,2008-09-18,038451N,0981345W,Ellsworth Municipal,Fatal,Substantial,Airplane,Cessna,177Rg,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,The student pilot's failure to maintain directional control during the landing roll.
65401,20081004X11739,Accident,2008-09-18,372911N,0965529W,,Fatal,Substantial,Airplane,Cessna,E162,1,Reciprocating,Part 91: General Aviation,Flight Test,0.0,0.0,0.0,1.0,VMC,Unknown,"The airplane's inability to recover from an intentional spin, despite proper control inputs by the flight test pilot. Contributing to the accident was the failure of the airplane's ballistic parachute system to properly deploy."
65404,20081007X93755,Accident,2008-09-18,294324N,0911834W,Harry P Williams Memorial,Fatal,Substantial,Airplane,Gulfstream-Schweizer A/C Corp,Gulfstream,1,Turbo Prop,Part 137: Agricultural,Aerial Application,0.0,0.0,0.0,1.0,VMC,Unknown,The loss of engine power due to fuel contamination.  Contributing to the accident was the unsuitable muddy terrain for the forced landing.
65405,20081016X91229,Incident,2008-09-18,,,Barcelona,Fatal,Minor,Airplane,Boeing,757,UNK,UNK,Part 129: Foreign,UNK,0.0,0.0,0.0,0.0,UNK,Unknown,
65406,20080922X01509,Incident,2008-09-19,403521N,0752810W,Allentown / Lehigh Valley Intl,Fatal,Unknown,Airplane,Bombardier,Cl-600-2C1,2,UNK,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,63.0,VMC,Unknown,The failure of both tower controllers to maintain awareness of the position of N736GV and ensure that the aircraft was clear of the runway before issuing a takeoff clearance to ASH7138.
65409,20081003X65758,Accident,2008-09-19,405349N,0973722W,York Municipal,Fatal,Substantial,Airplane,Cessna,172L,1,Reciprocating,Part 91: General Aviation,Instructional,2.0,0.0,0.0,0.0,VMC,Unknown,"The student pilot's failure to maintain aircraft control, and the flight instructor's failure to take remedial action, for undetermined reasons."
65410,20081004X12027,Accident,2008-09-19,475029N,0963717W,Crookston Muni,Fatal,Substantial,Airplane,Cub Crafters,Cc18-180,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Unknown,The pilot's failure to maintain directional control during landing and the flight instructor's delayed remedial action.
65416,20081003X16308,Accident,2008-09-20,003400N,0081146W,Columbia Metropolitan,Fatal,Destroyed,Airplane,Learjet,Lr60,2,Turbo Fan,Part 135: Air Taxi & Commuter,UNK,4.0,0.0,2.0,0.0,VMC,Unknown,"The operators inadequate maintenance of the airplanes tires, which resulted in multiple tire failures during takeoff roll due to severe underinflation, and the captains execution of a rejected takeoff (RTO) after V1, which was inconsistent with her training and standard operating procedures. 
Contributing to the accident were (1) deficiencies in Learjets design of and the Federal Aviation Administrations (FAA) certification of the Learjet Model 60s thrust reverser system, which permitted the failure of critical systems in the wheel well area to result in uncommanded forward thrust that increased the severity of the accident; (2) the inadequacy of Learjets safety analysis and the FAAs review of it, which failed to detect and correct the thrust reverser and wheel well design deficiencies after a 2001 uncommanded forward thrust accident; (3) inadequate industry training standards for flight crews in tire failure scenarios; and (4) the flight crews poor crew resource management (CRM)."
65417,20081003X17110,Accident,2008-09-20,040139N,1114324W,Provo Municipal Airport,Fatal,Substantial,Airplane,Diamond Aircraft,Da40F,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Unknown,An in-flight collision with a bird.
65427,20081003X42132,Accident,2008-09-22,000828N,0782917W,,Fatal,Substantial,Airplane,Fokker,F28-4000,UNK,UNK,NUSC,UNK,0.0,63.0,3.0,0.0,VMC,Unknown,
65429,20081007X03940,Incident,2008-09-22,415843N,0875417W,O'Hare International Airport,Fatal,Minor,Airplane,Boeing,757-223,2,Turbo Fan,Part 121: Air Carrier,UNK,0.0,0.0,0.0,192.0,UNK,Unknown,The failure of an electrical relay due to eroded contacts and the flight crew's decision to continue a flight that was operating on battery power.
